Date,Open,High,Low,Close,Adj Close,Volume
2021-10-01,141.899994,142.919998,139.110001,142.649994,141.404266,94639600
2021-10-04,141.759995,142.210007,138.270004,139.139999,137.924911,98322000
2021-10-05,139.490005,142.240005,139.360001,141.110001,139.877716,80861100
2021-10-06,139.470001,142.149994,138.369995,142.000000,140.759949,83221100
2021-10-07,143.059998,144.220001,142.720001,143.289993,142.038696,61732700
2021-10-08,144.029999,144.179993,142.559998,142.899994,141.652069,58773200
2021-10-11,142.270004,144.809998,141.809998,142.809998,141.562897,64452200
2021-10-12,143.229996,143.250000,141.039993,141.509995,140.274216,73035900
2021-10-13,141.240005,141.399994,139.199997,140.910004,139.679474,78762700
2021-10-14,142.110001,143.880005,141.509995,143.759995,142.504562,69907100
2021-10-15,143.770004,144.899994,143.509995,144.839996,143.575150,67940300
2021-10-18,143.449997,146.839996,143.160004,146.550003,145.270233,85589200
2021-10-19,147.009995,149.169998,146.550003,148.759995,147.460922,76378900
2021-10-20,148.699997,149.750000,148.119995,149.259995,147.956543,58418800
2021-10-21,148.809998,149.639999,147.869995,149.479996,148.174622,61421000
2021-10-22,149.690002,150.179993,148.639999,148.690002,147.391525,58883400
2021-10-25,148.679993,149.369995,147.619995,148.639999,147.341965,50720600
2021-10-26,149.330002,150.839996,149.009995,149.320007,148.016037,60893400
2021-10-27,149.360001,149.729996,148.490005,148.850006,147.550140,56094900
2021-10-28,149.820007,153.169998,149.720001,152.570007,151.237656,100077900
2021-10-29,147.220001,149.940002,146.410004,149.800003,148.491837,124953200
2021-11-01,148.990005,149.699997,147.800003,148.960007,147.659180,74588300
2021-11-02,148.660004,151.570007,148.649994,150.020004,148.709915,69122000
2021-11-03,150.389999,151.970001,149.820007,151.490005,150.167099,54511500
2021-11-04,151.580002,152.429993,150.639999,150.960007,149.641739,60394600
2021-11-05,151.889999,152.199997,150.059998,151.279999,150.177765,65463900
2021-11-08,151.410004,151.570007,150.160004,150.440002,149.343887,55020900
2021-11-09,150.199997,151.429993,150.059998,150.809998,149.711182,56787900
2021-11-10,150.020004,150.130005,147.850006,147.919998,146.842255,65187100
2021-11-11,148.960007,149.429993,147.679993,147.869995,146.792603,41000000
2021-11-12,148.429993,150.399994,147.479996,149.990005,148.897186,63804000
2021-11-15,150.369995,151.880005,149.429993,150.000000,148.907104,59222800
2021-11-16,149.940002,151.490005,149.339996,151.000000,149.899811,59256200
2021-11-17,151.000000,155.000000,150.990005,153.490005,152.371674,88807000
2021-11-18,153.710007,158.669998,153.050003,157.869995,156.719742,137827700
2021-11-19,157.649994,161.020004,156.529999,160.550003,159.380234,117305600
2021-11-22,161.679993,165.699997,161.000000,161.020004,159.846802,117467900
2021-11-23,161.119995,161.800003,159.059998,161.410004,160.233978,96041900
2021-11-24,160.750000,162.139999,159.639999,161.940002,160.760101,69463600
2021-11-26,159.570007,160.449997,156.360001,156.809998,155.667496,76959800
2021-11-29,159.369995,161.190002,158.789993,160.240005,159.072479,88748200
2021-11-30,159.990005,165.520004,159.919998,165.300003,164.095627,174048100
2021-12-01,167.479996,170.300003,164.529999,164.770004,163.569504,152052500
2021-12-02,158.740005,164.199997,157.800003,163.759995,162.566849,136739200
2021-12-03,164.020004,164.960007,159.720001,161.839996,160.660843,118023100
2021-12-06,164.289993,167.880005,164.279999,165.320007,164.115479,107497000
2021-12-07,169.080002,171.580002,168.339996,171.179993,169.932785,120405400
2021-12-08,172.130005,175.960007,170.699997,175.080002,173.804367,116998900
2021-12-09,174.910004,176.750000,173.919998,174.559998,173.288162,108923700
2021-12-10,175.210007,179.630005,174.690002,179.449997,178.142517,115402700
2021-12-13,181.119995,182.130005,175.529999,175.740005,174.459564,153237000
2021-12-14,175.250000,177.740005,172.210007,174.330002,173.059830,139380400
2021-12-15,175.110001,179.500000,172.309998,179.300003,177.993622,131063300
2021-12-16,179.279999,181.139999,170.750000,172.259995,171.004883,150185800
2021-12-17,169.929993,173.470001,169.690002,171.139999,169.893066,195432700
2021-12-20,168.279999,170.580002,167.460007,169.750000,168.513199,107499100
2021-12-21,171.559998,173.199997,169.119995,172.990005,171.729584,91185900
2021-12-22,173.039993,175.860001,172.149994,175.639999,174.360275,92135300
2021-12-23,175.850006,176.850006,175.270004,176.279999,174.995605,68356600
2021-12-27,177.089996,180.419998,177.070007,180.330002,179.016113,74919600
2021-12-28,180.160004,181.330002,178.529999,179.289993,177.983673,79144300
2021-12-29,179.330002,180.630005,178.139999,179.380005,178.073044,62348900
2021-12-30,179.470001,180.570007,178.089996,178.199997,176.901627,59773000
2021-12-31,178.089996,179.229996,177.259995,177.570007,176.276230,64062300
